"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Allegan,Lee,031120,0,,FENNVILLE PUBLIC SCHOOLS,03050,28.3964,33.8964,51.8964
Allegan,Lee,031120,0,,BLOOMINGDALE PUBLIC SCH DIST,80090,30.4101,35.9101,53.3612
Allegan,Leighton,031130,0,,WAYLAND UNION SCHOOLS,03040,30.6152,30.6152,48.6152
Allegan,Leighton,031130,0,,THORNAPPLE KELLOGG SCH DIST,08050,34.1029,34.1029,52.1029
Allegan,Leighton,031130,0,,CALEDONIA COMMUNITY SCHOOLS,41050,31.4529,31.4529,49.4529
Allegan,Manlius,031140,0,,FENNVILLE PUBLIC SCHOOLS,03050,31.7113,31.7113,49.7113
Allegan,Manlius,031140,0,,HAMILTON COMMUNITY SCHOOLS,03100,29.9197,29.9197,47.9197
Allegan,Martin,031150,0,,PLAINWELL COMMUNITY SCHOOLS,03010,34.9592,34.9592,52.9592
Allegan,Martin,031150,0,,MARTIN PUBLIC SCHOOLS,03060,31.4092,31.4092,49.4092
Allegan,Martin,031150,0,MARTIN,MARTIN PUBLIC SCHOOLS,03060,39.9155,39.9155,57.9155
Allegan,Monterey,031160,0,,ALLEGAN PUBLIC SCHOOLS,03030,33.9735,33.9735,51.9082
Allegan,Monterey,031160,0,,HOPKINS PUBLIC SCHOOLS,03070,36.1623,36.1623,54.1623
Allegan,Monterey,031160,0,,HAMILTON COMMUNITY SCHOOLS,03100,30.1633,30.1633,48.1633
Allegan,Otsego,031170,0,,PLAINWELL COMMUNITY SCHOOLS,03010,35.4927,35.4927,53.4927
Allegan,Otsego,031170,0,,OTSEGO PUBLIC SCHOOLS,03020,33.4327,33.4327,51.4327
Allegan,Otsego,031170,0,,TR-OTSEGO MARTIN DEBT,03026,31.9427,31.9427,49.9427
Allegan,Otsego,031170,0,,ALLEGAN PUBLIC SCHOOLS,03030,33.4616,33.4616,51.3963
Allegan,Otsego,031170,0,,MARTIN PUBLIC SCHOOLS,03060,31.9427,31.9427,49.9427
Allegan,Overisel,031180,0,,HAMILTON COMMUNITY SCHOOLS,03100,31.0427,31.0427,49.0427
Allegan,Overisel,031180,0,,ZEELAND PUBLIC SCHOOLS,70350,35.6323,35.6323,53.6323
Allegan,Salem,031190,0,,HOPKINS PUBLIC SCHOOLS,03070,36.5799,36.5799,54.5799
Allegan,Salem,031190,0,,HAMILTON COMMUNITY SCHOOLS,03100,30.5809,30.5809,48.5809
Allegan,Salem,031190,0,,HUDSONVILLE PUBLIC SCH DIST,70190,34.2202,34.2202,52.2202
Allegan,Salem,031190,0,,ZEELAND PUBLIC SCHOOLS,70350,35.1705,35.1705,53.1705
Allegan,Saugatuck,031200,0,,FENNVILLE PUBLIC SCHOOLS,03050,30.1341,33.0341,51.0341
Allegan,Saugatuck,031200,0,,SAUGATUCK PUBLIC SCHOOLS,03080,28.1642,31.0642,49.0642
Allegan,Saugatuck,031200,0,,HAMILTON COMMUNITY SCHOOLS,03100,28.3425,31.2425,49.2425
Allegan,Trowbridge,031210,0,,OTSEGO PUBLIC SCHOOLS,03020,30.6796,30.6796,48.6796
Allegan,Trowbridge,031210,0,,ALLEGAN PUBLIC SCHOOLS,03030,32.4145,32.4145,50.3492
Allegan,Trowbridge,031210,0,,GOBLES PUBLIC SCHOOL DIST,80110,35.1652,35.1652,53.1652
Allegan,Valley,031220,0,,ALLEGAN PUBLIC SCHOOLS,03030,32.7852,32.7852,50.7199
Allegan,Valley,031220,0,,FENNVILLE PUBLIC SCHOOLS,03050,30.2252,30.2252,48.2252
Allegan,Watson,031230,0,,OTSEGO PUBLIC SCHOOLS,03020,29.2396,30.2396,48.2396
Allegan,Watson,031230,0,,ALLEGAN PUBLIC SCHOOLS,03030,30.9745,31.9745,49.9092
Allegan,Watson,031230,0,,MARTIN PUBLIC SCHOOLS,03060,27.7496,28.7496,46.7496
Allegan,Watson,031230,0,,HOPKINS PUBLIC SCHOOLS,03070,33.1633,34.1633,52.1633
Allegan,Wayland,031240,0,,WAYLAND UNION SCHOOLS,03040,29.5491,29.5491,47.5491
Allegan,Wayland,031240,0,,THORNAPPLE KELLOGG SCH DIST,08050,31.6869,31.6869,49.6869
Allegan,Allegan,032010,1,,ALLEGAN PUBLIC SCHOOLS,03030,44.1149,44.1149,62.0496
Allegan,Fennville,032020,1,,FENNVILLE PUBLIC SCHOOLS,03050,41.4528,41.4528,59.4528
Allegan,Holland,032030,1,,HAMILTON COMMUNITY SCHOOLS,03100,40.2085,40.2085,58.2085
Allegan,Holland,032030,1,,HOLLAND CITY SCHOOL DISTRICT,70020,43.5389,43.5389,61.5389
Allegan,Otsego,032040,1,,OTSEGO PUBLIC SCHOOLS,03020,43.8614,43.8614,61.8614
Allegan,Plainwell,032050,1,,PLAINWELL COMMUNITY SCHOOLS,03010,45.5782,45.5782,63.5782
Allegan,Saugatuck,032055,1,,SAUGATUCK PUBLIC SCHOOLS,03080,37.8409,40.7409,58.7409
Allegan,South Haven,032056,1,,SOUTH HAVEN PUBLIC SCHOOLS,80010,42.1287,42.1287,60.1287
Allegan,Village of Douglas,032015,1,,SAUGATUCK PUBLIC SCHOOLS,03080,37.6825,40.5825,58.5825
Allegan,Wayland,032060,1,,WAYLAND UNION SCHOOLS,03040,43.8700,43.8700,61.8700
Alpena,Alpena,041010,0,,ALPENA PUBLIC SCHOOLS,04010,24.4110,24.4110,42.3264
Alpena,Green,041020,0,,ALPENA PUBLIC SCHOOLS,04010,24.3573,24.3573,42.2727
Alpena,Green,041020,0,,HILLMAN COMMUNITY SCHOOLS,60020,21.0591,21.0591,38.7755
Alpena,Green,041020,0,HILLMAN,HILLMAN COMMUNITY SCHOOLS,60020,31.5591,31.5591,49.2755
Alpena,Long Rapids,041030,0,,ALPENA PUBLIC SCHOOLS,04010,25.7174,25.7174,43.6328
Alpena,Maple Ridge,041040,0,,ALPENA PUBLIC SCHOOLS,04010,22.8594,22.8594,40.7748
Alpena,Ossineke,041050,0,,ALPENA PUBLIC SCHOOLS,04010,23.9638,23.9638,41.8792
Alpena,Sanborn,041060,0,,ALPENA PUBLIC SCHOOLS,04010,23.9119,23.9119,41.8273
Alpena,Wellington,041070,0,,ALPENA PUBLIC SCHOOLS,04010,24.0982,24.0982,42.0136
Alpena,Wellington,041070,0,,HILLMAN COMMUNITY SCHOOLS,60020,20.8000,20.8000,38.5164
